,PointIndex,ViewId,FeatureIndex
79,91,"['view_eca4a48eae39', 'view_e5f42324df04']","[array([ 593.46844482, 1602.42272949]), array([ 723.79193115, 1662.10595703])]"
80,94,"['view_eca4a48eae39', 'view_e5f42324df04']","[array([ 599.05822754, 1569.69213867]), array([ 732.37835693, 1624.04528809])]"
81,96,"['view_eca4a48eae39', 'view_e5f42324df04']","[array([ 600.42944336, 1206.69042969]), array([ 332.62615967, 1196.38415527])]"
82,98,"['view_eca4a48eae39', 'view_e5f42324df04']","[array([ 606.32434082, 1813.16625977]), array([ 828.80126953, 1913.10839844])]"
83,100,"['view_eca4a48eae39', 'view_e5f42324df04']","[array([ 606.40637207, 1803.84509277]), array([ 819.95147705, 1901.92956543])]"
84,102,"['view_eca4a48eae39', 'view_e5f42324df04']","[array([ 616.94665527, 1313.57116699]), array([ 354.98800659, 1319.32495117])]"
85,104,"['view_eca4a48eae39', 'view_e5f42324df04']","[array([ 621.85772705, 1344.53771973]), array([ 362.06491089, 1355.67211914])]"
86,107,"['view_eca4a48eae39', 'view_e5f42324df04']","[array([ 622.0199585 , 1319.09350586]), array([ 361.8387146 , 1326.22424316])]"
87,109,"['view_eca4a48eae39', 'view_e5f42324df04']","[array([ 624.24560547, 1268.54199219]), array([ 363.9347229 , 1267.64453125])]"
88,111,"['view_eca4a48eae39', 'view_e5f42324df04']","[array([641.83093262, 627.9644165 ]), array([377.01635742, 524.18670654])]"
89,113,"['view_eca4a48eae39', 'view_e5f42324df04']","[array([650.79632568, 441.80908203]), array([386.84075928, 309.38439941])]"
90,115,"['view_eca4a48eae39', 'view_e5f42324df04']","[array([ 660.40710449, 1707.02185059]), array([ 861.1505127 , 1781.89746094])]"
91,117,"['view_eca4a48eae39', 'view_e5f42324df04']","[array([ 662.17852783, 1648.55773926]), array([ 849.63903809, 1713.97375488])]"
92,119,"['view_eca4a48eae39', 'view_e5f42324df04']","[array([ 696.18426514, 1369.53674316]), array([ 474.20666504, 1383.31201172])]"
93,121,"['view_eca4a48eae39', 'view_e5f42324df04']","[array([ 698.73620605, 1203.38256836]), array([ 474.94900513, 1191.37182617])]"
94,123,"['view_eca4a48eae39', 'view_e5f42324df04']","[array([ 701.32775879, 1277.85620117]), array([ 479.96002197, 1276.34606934])]"
95,125,"['view_eca4a48eae39', 'view_e5f42324df04']","[array([ 704.78460693, 1111.74731445]), array([ 482.47250366, 1083.31494141])]"
96,127,"['view_eca4a48eae39', 'view_e5f42324df04']","[array([ 711.09747314, 1747.9753418 ]), array([ 969.777771 , 1826.8536377])]"
97,129,"['view_eca4a48eae39', 'view_e5f42324df04']","[array([713.9375   , 858.3359375]), array([490.1232605 , 794.02813721])]"
98,131,"['view_eca4a48eae39', 'view_e5f42324df04']","[array([ 716.40893555, 1036.05859375]), array([497.21179199, 996.12982178])]"
99,133,"['view_eca4a48eae39', 'view_e5f42324df04']","[array([719.95568848, 676.42822266]), array([493.88092041, 585.74377441])]"
100,135,"['view_eca4a48eae39', 'view_e5f42324df04']","[array([ 721.20275879, 1659.95227051]), array([ 960.10565186, 1722.80053711])]"
101,137,"['view_eca4a48eae39', 'view_e5f42324df04']","[array([722.38085938, 545.68536377]), array([495.9593811 , 434.19863892])]"
102,139,"['view_eca4a48eae39', 'view_e5f42324df04']","[array([723.77386475, 498.62081909]), array([496.62435913, 380.86312866])]"
103,141,"['view_eca4a48eae39', 'view_e5f42324df04']","[array([724.30847168, 859.21374512]), array([506.63873291, 795.7802124 ])]"
104,143,"['view_eca4a48eae39', 'view_e5f42324df04']","[array([724.37805176, 586.77862549]), array([500.29373169, 481.25268555])]"
105,145,"['view_eca4a48eae39', 'view_e5f42324df04']","[array([726.47125244, 374.30007935]), array([498.36029053, 237.32727051])]"
106,147,"['view_eca4a48eae39', 'view_e5f42324df04']","[array([726.55950928, 857.99591064]), array([506.63873291, 795.7802124 ])]"
107,149,"['view_eca4a48eae39', 'view_e5f42324df04']","[array([727.22717285, 388.30603027]), array([499.71600342, 253.04724121])]"
108,151,"['view_eca4a48eae39', 'view_e5f42324df04']","[array([727.24243164, 654.08807373]), array([503.88040161, 559.6295166 ])]"
109,153,"['view_eca4a48eae39', 'view_e5f42324df04']","[array([727.65667725, 463.55731201]), array([501.32580566, 339.49188232])]"
110,155,"['view_eca4a48eae39', 'view_e5f42324df04']","[array([727.93218994, 520.00024414]), array([504.46551514, 405.44976807])]"
111,157,"['view_eca4a48eae39', 'view_e5f42324df04']","[array([731.79058838, 691.09014893]), array([514.68103027, 601.96905518])]"
112,160,"['view_eca4a48eae39', 'view_e5f42324df04']","[array([733.0378418 , 866.60229492]), array([520.64562988, 804.08703613])]"
113,162,"['view_eca4a48eae39', 'view_e5f42324df04']","[array([733.71990967, 424.01309204]), array([509.17422485, 296.62704468])]"
114,164,"['view_eca4a48eae39', 'view_e5f42324df04']","[array([741.4354248 , 256.58401489]), array([520.58624268, 101.28381348])]"
115,166,"['view_eca4a48eae39', 'view_e5f42324df04']","[array([ 746.41949463, 1352.66210938]), array([ 553.64404297, 1361.62866211])]"
116,169,"['view_eca4a48eae39', 'view_e5f42324df04']","[array([ 752.63024902, 1025.34350586]), array([555.03234863, 986.60968018])]"
117,171,"['view_eca4a48eae39', 'view_e5f42324df04']","[array([ 753.97418213, 1038.24694824]), array([ 556.6416626 , 1001.61199951])]"
118,173,"['view_eca4a48eae39', 'view_e5f42324df04']","[array([758.95172119, 985.41253662]), array([564.38299561, 941.14581299])]"
119,176,"['view_eca4a48eae39', 'view_e5f42324df04']","[array([ 760.1317749, 1117.2890625]), array([ 569.87420654, 1091.88842773])]"
120,178,"['view_eca4a48eae39', 'view_e5f42324df04']","[array([760.66851807, 590.48150635]), array([557.48120117, 487.92861938])]"
121,180,"['view_eca4a48eae39', 'view_e5f42324df04']","[array([ 763.63299561, 1026.0098877 ]), array([572.78533936, 987.14782715])]"
122,183,"['view_eca4a48eae39', 'view_e5f42324df04']","[array([764.10528564, 675.58093262]), array([563.79980469, 585.75061035])]"
123,185,"['view_eca4a48eae39', 'view_e5f42324df04']","[array([766.49383545, 982.42541504]), array([574.71820068, 937.99615479])]"
124,187,"['view_eca4a48eae39', 'view_e5f42324df04']","[array([767.41595459, 360.1472168 ]), array([562.08129883, 224.56852722])]"
125,189,"['view_eca4a48eae39', 'view_e5f42324df04']","[array([769.47698975, 463.53442383]), array([569.20544434, 343.05731201])]"
126,191,"['view_eca4a48eae39', 'view_e5f42324df04']","[array([775.45324707, 856.25061035]), array([585.98791504, 793.42059326])]"
127,193,"['view_eca4a48eae39', 'view_e5f42324df04']","[array([776.7288208, 687.6027832]), array([585.71185303, 600.00219727])]"
128,196,"['view_eca4a48eae39', 'view_e5f42324df04']","[array([779.09436035, 473.22103882]), array([584.37353516, 354.59588623])]"
129,198,"['view_eca4a48eae39', 'view_e5f42324df04']","[array([786.62255859, 976.64794922]), array([605.58636475, 931.28564453])]"
130,200,"['view_eca4a48eae39', 'view_e5f42324df04']","[array([ 788.05340576, 1766.52502441]), array([1116.13720703, 1844.81896973])]"
131,202,"['view_eca4a48eae39', 'view_e5f42324df04']","[array([ 788.60064697, 1292.5423584 ]), array([ 618.99914551, 1291.24951172])]"
132,204,"['view_eca4a48eae39', 'view_e5f42324df04']","[array([793.89782715, 682.86889648]), array([613.02459717, 595.75317383])]"
133,206,"['view_eca4a48eae39', 'view_e5f42324df04']","[array([798.53155518, 666.31585693]), array([618.14758301, 576.79309082])]"
134,208,"['view_eca4a48eae39', 'view_e5f42324df04']","[array([798.60675049, 582.18792725]), array([616.69812012, 480.79876709])]"
135,210,"['view_eca4a48eae39', 'view_e5f42324df04']","[array([798.93109131, 741.09368896]), array([620.06097412, 662.37457275])]"
136,212,"['view_eca4a48eae39', 'view_e5f42324df04']","[array([ 799.41156006, 1296.56750488]), array([ 636.29473877, 1297.53613281])]"
137,214,"['view_eca4a48eae39', 'view_e5f42324df04']","[array([ 800.09344482, 1282.20800781]), array([ 636.64672852, 1279.35253906])]"
138,216,"['view_eca4a48eae39', 'view_e5f42324df04']","[array([801.62713623, 661.50073242]), array([623.44775391, 571.39898682])]"
139,218,"['view_eca4a48eae39', 'view_e5f42324df04']","[array([ 802.46484375, 1267.54321289]), array([ 639.01934814, 1263.91760254])]"
140,220,"['view_eca4a48eae39', 'view_e5f42324df04']","[array([802.97528076, 575.33947754]), array([623.3012085 , 473.13671875])]"
141,222,"['view_eca4a48eae39', 'view_e5f42324df04']","[array([ 803.87744141, 1187.59777832]), array([ 638.35443115, 1172.22888184])]"
142,225,"['view_eca4a48eae39', 'view_e5f42324df04']","[array([ 804.64007568, 1739.23181152]), array([1121.75854492, 1810.33691406])]"
143,228,"['view_eca4a48eae39', 'view_e5f42324df04']","[array([805.5715332, 343.0451355]), array([620.88336182, 207.62667847])]"
144,230,"['view_eca4a48eae39', 'view_e5f42324df04']","[array([805.57958984, 411.25241089]), array([622.18450928, 285.86373901])]"
145,233,"['view_eca4a48eae39', 'view_e5f42324df04']","[array([ 805.86987305, 1288.81445312]), array([ 627.53729248, 1288.37390137])]"
146,235,"['view_eca4a48eae39', 'view_e5f42324df04']","[array([808.73248291, 787.16888428]), array([636.44274902, 715.31744385])]"
147,238,"['view_eca4a48eae39', 'view_e5f42324df04']","[array([808.87542725, 851.07849121]), array([641.36450195, 788.0166626 ])]"
148,240,"['view_eca4a48eae39', 'view_e5f42324df04']","[array([ 810.04327393, 1035.83874512]), array([645.39379883, 999.27600098])]"
149,243,"['view_eca4a48eae39', 'view_e5f42324df04']","[array([ 810.48791504, 1355.70092773]), array([ 747.06469727, 1364.6517334 ])]"
150,245,"['view_eca4a48eae39', 'view_e5f42324df04']","[array([811.04858398, 335.14920044]), array([629.20825195, 199.61811829])]"
151,248,"['view_eca4a48eae39', 'view_e5f42324df04']","[array([ 811.4017334 , 1294.82983398]), array([ 654.78637695, 1293.57434082])]"
152,250,"['view_eca4a48eae39', 'view_e5f42324df04']","[array([813.0279541 , 662.07702637]), array([642.2043457 , 572.26086426])]"
153,252,"['view_eca4a48eae39', 'view_e5f42324df04']","[array([ 814.60083008, 1366.33764648]), array([ 754.34893799, 1376.52099609])]"
154,254,"['view_eca4a48eae39', 'view_e5f42324df04']","[array([ 815.03613281, 1298.2578125 ]), array([ 659.03240967, 1298.07275391])]"
